   step     dens     kT     pres         Lx      Ly      Lz          Px       Py       Pz         px        py        pz
      100  2.9977  1.0923  21.2864     12.000  12.000  12.000      7.0906   7.1224   7.0733     0.95E-13  0.33E-13 -0.56E-13
      200  2.9977  1.0361  21.4949     12.000  12.000  12.000      7.1490   7.1676   7.1783     0.33E-13 -0.26E-12 -0.92E-14
      300  2.9977  1.0100  21.8174     12.000  12.000  12.000      7.3073   7.2778   7.2323    -0.51E-13 -0.17E-12  0.18E-12
      400  2.9977  0.9888  21.9030     12.000  12.000  12.000      7.2877   7.2937   7.3216    -0.69E-13 -0.59E-12 -0.42E-13
      500  2.9977  1.0082  21.8958     12.000  12.000  12.000      7.3260   7.2379   7.3318     0.85E-13 -0.29E-12  0.15E-12
      600  2.9977  0.9829  21.8772     12.000  12.000  12.000      7.2852   7.2770   7.3150    -0.18E-12 -0.20E-12  0.36E-12
      700  2.9977  0.9961  21.8849     12.000  12.000  12.000      7.2637   7.2876   7.3336     0.13E-12 -0.30E-12  0.30E-13
      800  2.9977  0.9977  21.8823     12.000  12.000  12.000      7.2948   7.3144   7.2730     0.61E-13 -0.28E-12  0.20E-13
      900  2.9977  1.0047  22.0099     12.000  12.000  12.000      7.3347   7.3526   7.3225    -0.44E-14 -0.26E-12  0.78E-13
     1000  2.9977  1.0007  21.9179     12.000  12.000  12.000      7.3099   7.3187   7.2893    -0.35E-13 -0.26E-12  0.11E-12
     1100  2.9977  1.0145  21.9078     12.000  12.000  12.000      7.2697   7.3768   7.2613     0.24E-12 -0.33E-12  0.21E-12
     1200  2.9977  1.0088  21.9072     12.000  12.000  12.000      7.3280   7.2810   7.2982     0.97E-13 -0.47E-13  0.20E-12
     1300  2.9977  0.9861  21.9079     12.000  12.000  12.000      7.3515   7.2868   7.2695     0.36E-12  0.48E-14 -0.67E-13
     1400  2.9977  0.9812  21.9256     12.000  12.000  12.000      7.2897   7.2813   7.3545     0.47E-12 -0.94E-13 -0.83E-13
     1500  2.9977  0.9843  21.8729     12.000  12.000  12.000      7.3009   7.2682   7.3038     0.36E-12 -0.17E-12  0.43E-12
     1600  2.9977  1.0039  21.9422     12.000  12.000  12.000      7.3009   7.3107   7.3306     0.48E-12 -0.39E-13 -0.22E-13
